price_earnings,price_book,price_sales,valuation_z__scaled,earnings_share,dividend_yield,ebitda,ebitda_log__scaled,profitability_ratio__scaled,market_cap,price,52w_range__scaled,price_to_52w_high__scaled,market_cap_log__scaled,dividend_flag__scaled
15.54,9.73,0.408193438,0.037383326,1.64,1.6132456,991884000,-0.311723178,-0.452943417,20587704101,91.55,-0.221458067,0.282945689,-0.030620923,0
27.61,4.54,4.015368,0.391604264,2.94,0.75512403,1025763000,-0.2902302,-0.272426305,17139651923,72.05,-0.402666649,0.815378013,-0.175499369,0
13.76,3.91,5.58192,0.055501741,2.57,2.9751508,11945000000,1.280747271,0.243895717,1.28133E+11,173.12,0.404604454,-0.268329494,1.414514601,0
25.9,6.64,3.85675,0.497824048,2.05,0.8608971,1671700000,0.022320091,-0.238855894,26955335395,84.44,0.107876616,0.210269266,0.18237973,0
-21.29,2.88,3.9682212,-1.368045219,-5.9,1.7029973,3115000000,0.420612155,0.301589783,32129091747,56.2,-1.053269512,0.824312117,0.321157334,0
17.67,3.13,8.00391,0.387250418,2.11,2.108963,1663384000,0.019128708,-0.389359383,31811578855,82.68,0.425397564,-0.391077639,0.3133075,0
18.78,1.7,0.6618165,-0.516831596,6.13,2.3454583,2548000000,0.292034811,1.312968836,15696449735,96.9,-0.689254281,0.351319389,-0.245022319,0
42.53,5.79,16.18455464,2.346386454,2.99,0,458515000,-0.805510587,-0.659097215,13155919129,148.84,-1.034868455,1.508743809,-0.384576184,-1
19.23,2.28,0.6696521,-0.451339781,14.36,1.2581781,0,-13.56818948,-1.198261177,61221978627,230.57,-0.940254311,1.084488815,0.830758331,0
20.8,6.78,3.4972682,0.301681088,4.66,1.0245464,1858000000,0.089936051,-0.379907416,35123123422,136.05,0.285928572,-0.008477093,0.39157955,0
-53.6096,2.22,3.651366,-2.525358298,-3.72,2.528445,3265000000,0.450709003,2.154214428,15066280977,37.73,-0.361952989,-0.872285649,-0.277408927,0
15.6,4.69,6.187621,0.250583452,1.95,3.876562,874871000,-0.392054875,0.999960787,6156884142,38.21,0.978997618,-0.895564448,-0.984721844,0
16.86,5.66,3.4586093,0.071361464,9.2,1.5795412,34156880000,1.953102782,-0.17807765,5.17951E+11,155.15,0.183438491,-0.083207295,2.518541382,0
14.08,5.44,4.7020154,0.099357262,3.17,0.8215239,4336000000,0.632255654,0.109384852,51296481503,45.75,-1.076462665,0.485171249,0.690950501,0
69.74,7.56,1.5025798,1.759647921,5.05,0.9392678,2370000000,0.245691014,0.273792405,24906530300,89.27,1.191443692,-0.519749494,0.11989825,0
17.45,1.29,0.52478915,-0.611131119,2.17,3.1761081,2927000000,0.380775054,0.720829365,23594770663,41.35,0.855429713,-0.537684965,0.077134131,0
20.21,3.4,0.94214815,-0.292541735,-0.21,0.9561753,1517000000,-0.039822322,0.737506491,12123300000,24.45,-0.053333822,-0.324740244,-0.449184878,0
21.05,2.92,1.9400215,-0.194889054,2.54,2.4807138,888000000,-0.382522754,-0.050471883,11968488290,64.4,0.436236894,-0.011817454,-0.459343001,0
33.27,1.12,0.9821866,-0.053288112,9.08,2.5313594,0,-13.56818948,-1.198261177,4653993594,85.16,0.773297678,-0.864071,-1.2059093,0
12.14,1.8,1.4083152,-0.643963055,4.76,5.4156513,34156880000,1.953102782,1.132456962,2.26713E+11,35.57,0.452956225,-0.451222541,1.865524053,0
-53.6096,205.042,16.18455464,16.28047731,-2.61,0,-371216000,-13.56818948,-1.434117023,24348294504,104.81,-0.638528566,0.31866772,0.101981459,-1
29.34,12.86,4.0483294,1.16646586,3.85,2.2190912,2767400000,0.344893681,-0.347775406,50337702249,108.25,0.454851215,-0.285581471,0.676037521,0
16.31,136.23,1.8510429,11.08186969,23.6712,0,2347304000,0.239533163,0.624477627,19922021415,597.3352,-0.372248043,0.435667141,-0.056599765,-1
17.97,2.12,10.251216,0.560798739,6.36,3.7149355,1331579000,-0.123251034,-0.255777406,21856547430,154.94,0.60741638,-0.856459376,0.016649693,0
22.11,8.83,1.5206499,0.30062932,3.11,1.5682175,831200000,-0.424823732,0.074261997,10104814319,110.77,-0.552378426,0.845452186,-0.593128954,0
200.0692,2.25,1.9390045,5.64856005,-0.31,2.4991322,285000000,-1.109805297,-1.06463983,32995712852,27.5,-1.724571797,-0.905466493,0.342194207,0
20.56,3.62,1.5696399,-0.19221655,0.85,1.0170354,1317000000,-0.130296173,0.281573658,13767688518,38.44,0.933032817,-0.504114831,-0.348650754,0
16.34,1.24,3.2011874,-0.353855926,1.55,1.536,0,-13.56818948,-1.198261177,3.21478E+11,29.74,-0.229603091,0.584860876,2.141563557,0
25.12,3.77,3.4394414,0.179271672,1.29,0.97635394,1832000000,0.080917753,-0.404703074,35713732553,62.56,-0.325099767,0.388595023,0.4047598,0
16.26,1.55,3.4552107,-0.301584828,2.74,2.4526198,0,-13.56818948,-1.198261177,42087562920,51.07,0.240637754,0.149424718,0.534555659,0
22.28,3.98,5.6912947,0.354542664,4.65,1.3518385,1537000000,-0.031440517,-0.731217244,50910180308,211.44,0.019452695,-0.000151072,0.684975724,0
30.43,1.58,1.4328232,-0.057217201,9.76,0,0,-13.56818948,-1.198261177,2.61401E+11,191.42,0.27360583,-0.05801587,1.978052459,-1
19.22,4.79,0.76715523,-0.225356738,3.81,1.9085041,2555000000,0.293790482,0.699167269,20831186176,68.79,-1.372999839,1.818388059,-0.02132813,0
14.3,5.51,5.737439,0.227966137,11.94,0,6511400000,0.892457358,0.258278002,69157726427,311.79,-0.358186154,0.295419125,0.927094143,-1
22.49,2.95,6.9158196,0.409467592,23.6712,2.1643558,5684000000,0.805489749,-0.174708549,85907759858,509.38,-0.674587801,0.733935538,1.098517892,0
12.29,205.042,2.0188456,16.8746595,1.92,3.7296038,894754000,-0.377673867,1.373876102,5381433872,25.19,-0.633461267,0.265544334,-1.091121277,0
27.29,182.86,2.1560605,15.48036166,13.47,1.9648397,12476000000,1.308580906,-0.259610506,2.05617E+11,329.66,-1.981584426,3.295139339,1.788327297,0
14.15,2.89,1.5831376,-0.464668911,0.55,1.2363636,867900000,-0.397174374,-0.040429076,11596117445,51.94,-0.471524786,0.731519925,-0.484324838,0
18.05,3.15,6.839459,0.271770954,2.93,2.7744062,1546846000,-0.027354135,0.146107992,17799878487,112.09,0.736478421,-0.820567191,-0.145624889,0
20,4.78,4.055685,0.1658454,0.07,0,1726000000,0.042776159,-0.459488147,36142506007,25.2,0.577694305,-0.495028357,0.414192615,-1
22.63,0.8304,1.4188358,-0.380232924,-6.8744,0,0,-13.56818948,-1.198261177,7066613254,55.44,-0.010847453,-0.621245805,-0.875797475,-1
20.83,6.75,6.503231,0.634965422,2.65,2.5546863,5170000000,0.744834464,-0.418022216,1.02507E+11,62.69,0.540122144,0.091932187,1.238142335,0
15.94,4.4,6.961893,0.32315381,4.01,2.9488583,7016000000,0.940221816,-0.028579558,92791974933,229.57,0.035364526,-0.287388596,1.159446075,0
37.04,12.36,1.8411398,1.131479693,1.7,1.1216964,1139000000,-0.223219375,2.006567702,5498033502,63.33,-0.433032771,0.775779069,-1.074178722,0
26,9.31,0.85282737,0.395661651,3.57,1.987685,868096000,-0.397029871,-0.159838145,12932483889,90.47,-0.564641539,0.907036693,-0.398115213,0
14.32,2.44,3.3742425,-0.298158917,1.85,3,1613000000,-0.000554799,0.562039456,14175422936,32.66,1.008295451,-0.533386586,-0.325582956,0
60.55,4.21,8.636729,1.963920218,-0.92,1.0269576,404951000,-0.885008578,-0.618682194,10808821635,23.01,0.149342548,-0.522585918,-0.539895522,0
34.09,10.98,5.751737,1.35143158,0.74,0,455607000,-0.809582159,-0.5510797,10890625200,36.82,-0.582804696,0.266357252,-0.533936179,-1
14.84,7.91,2.3898203,0.078843191,2.89,3.125,1683000000,0.026631277,0.735022228,13467193376,44.83,-0.21614646,-0.704216278,-0.366092996,0
11.85,0.94,1.5931405,-0.706752239,3.45,1.6306564,0,-13.56818948,-1.198261177,47637260000,91.8,0.073637428,0.013724287,0.632455986,0
